fecha,simbolo,apertura,cierre,volumen
2024-12-03,MSFT,429.84,431.2,18301987
2024-12-02,MSFT,421.57,430.98,20207223
2024-11-29,MSFT,420.09,423.46,16271921
2024-11-27,MSFT,425.105,422.99,18332444
2024-11-26,MSFT,419.585,427.99,23458889
2024-11-25,MSFT,418.38,418.79,27691090
2024-11-22,MSFT,411.365,417.0,24814626
2024-11-21,MSFT,419.5,412.87,20780162
2024-11-20,MSFT,416.87,415.49,19191655
2024-11-19,MSFT,413.11,417.79,18133529
2024-11-18,MSFT,414.87,415.76,24742013
2024-11-15,MSFT,419.82,415.0,28247644
2024-11-14,MSFT,425.0,426.89,30246881
2024-11-13,MSFT,421.64,425.2,21502185
2024-11-12,MSFT,418.25,423.03,19401204
2024-11-11,MSFT,422.515,418.01,24503321
2024-11-08,MSFT,425.32,422.54,16891414
2024-11-07,MSFT,421.28,425.43,19901782
2024-11-06,MSFT,412.42,420.18,26681842
2024-11-05,MSFT,408.37,411.46,17626011
2024-11-04,MSFT,409.8,408.46,19672286
2024-11-01,MSFT,409.01,410.37,24230442
2024-10-31,MSFT,415.36,406.35,53970981
2024-10-30,MSFT,437.435,432.53,29749149
2024-10-29,MSFT,428.0,431.95,17644080
2024-10-28,MSFT,431.655,426.59,14882444
2024-10-25,MSFT,426.76,428.15,16899064
2024-10-24,MSFT,425.325,424.73,13581631
2024-10-23,MSFT,430.855,424.6,19654379
2024-10-22,MSFT,418.49,427.51,25482197
2024-10-21,MSFT,416.12,418.78,14206115
2024-10-18,MSFT,417.14,418.16,17145317
2024-10-17,MSFT,422.36,416.72,14820004
2024-10-16,MSFT,415.17,416.12,15508932
2024-10-15,MSFT,422.18,418.74,18900201
2024-10-14,MSFT,417.77,419.14,16653086
2024-10-11,MSFT,416.135,416.32,14144944
2024-10-10,MSFT,415.225,415.84,13848376
2024-10-09,MSFT,415.86,417.46,14974257
2024-10-08,MSFT,410.9,414.71,19229261
2024-10-07,MSFT,416.0,409.54,20919761
2024-10-04,MSFT,418.24,416.06,19190913
2024-10-03,MSFT,417.63,416.54,13686421
2024-10-02,MSFT,422.58,417.13,16582257
2024-10-01,MSFT,428.45,420.69,19092945
2024-09-30,MSFT,428.21,430.3,16854606
2024-09-27,MSFT,431.52,428.02,14896131
2024-09-26,MSFT,435.085,431.31,14492044
2024-09-25,MSFT,429.83,432.11,13396364
2024-09-24,MSFT,433.0,429.17,17015754
2024-09-23,MSFT,434.28,433.51,15128891
2024-09-20,MSFT,437.22,435.27,55167106
2024-09-19,MSFT,441.225,438.69,21706559
2024-09-18,MSFT,435.0,430.81,18898042
2024-09-17,MSFT,440.23,435.15,18874231
2024-09-16,MSFT,430.6,431.34,13834697
